exercise,image,right_ankle,hip_flexion,neck,left_ankle,left_leg_spread,right_elbow,left_knee,left_elbow,right_leg_spread,right_hip,right_arm_torso,left_shoulder,left_hip,right_shoulder,left_arm_torso,torso_bend,right_knee
t bar row,t bar row_2000331.jpg,,,,,,,,,,,,,,,,,
t bar row,t bar row_1600121.jpg,,,3.1233186244535918,,,130.52816755478497,,,,123.8347365228031,24.303705273575705,,,4.203429366532022,,,
t bar row,t bar row_300361.jpg,129.91536172761127,165.5965165010598,42.00836720550642,124.65629917689759,79.77346397766074,121.8015681929482,179.31859085743247,,86.66176830181021,167.9340021634501,0.9317474274811257,,165.5965165010598,26.5355788118306,20.584730462913008,165.5965165010598,175.34860668904315
t bar row,t bar row_2000161.jpg,,179.3661025514744,64.05459285811457,,,171.1939121668456,,,74.21549791377528,162.35518839348768,17.33607033211894,23.87373223805934,179.3661025514744,22.17696057063832,,179.3661025514744,175.11729154801714
t bar row,t bar row_1800341.jpg,,171.38528171933442,60.49533427401384,,,160.21247039964248,,174.25514004395032,,172.9554319270045,11.815830365347576,14.069137834823152,171.38528171933442,21.64012785707115,11.209980954883697,171.38528171933442,
t bar row,t bar row_800021.jpg,144.97465866796517,159.61510916164033,62.1243051819001,174.24756062408,65.97646911521986,179.45063311459893,166.08270940130797,173.03917463228217,71.65785178655936,143.96541952840218,4.770898054933221,0.8200207425598878,159.61510916164033,4.510693415847973,2.46854730769718,159.61510916164033,152.3629176477475
t bar row,t bar row_2000261.jpg,,,67.84581445425155,,,173.03123475861605,,,,,19.108197403998066,14.293683494421597,,16.224471684697736,,,
t bar row,t bar row_700231.jpg,102.41903662254816,,36.567752178078806,,93.6457221015734,160.5892510093615,,,72.34970685202427,144.3338696134686,30.747968850465064,,,22.80066042306223,,,166.45326761300805
t bar row,t bar row_g7.jpg,99.33953983479127,154.81136946613123,52.96053114791583,126.0686637718496,103.26608451535522,179.44747968155787,158.15374502280824,,62.534981306869106,143.16171441334998,30.36558107247808,30.11842431779687,154.81136946613123,30.689383147994214,,154.81136946613123,160.24099885446077
t bar row,t bar row_1100071.jpg,157.718313746232,167.822572298542,118.57209701659255,176.28957613592218,68.08892752055827,,176.85104311434716,139.79901086428995,70.80077383400082,147.36363614076214,,17.284314488542392,167.822572298542,6.6458173228685125,1.3246726101148152,167.822572298542,165.3905342139327
t bar row,t bar row_1600451.jpg,,,17.41972705741,,,145.17409572135108,,149.4581793807175,,136.19868145022463,21.13947455806281,14.183955721568136,,4.710069949316516,28.278753636962453,,
t bar row,t bar row_1600241.jpg,159.8982551265582,,12.33783221521898,,,138.23806585821296,,,76.24695146760112,125.2091688064967,24.205363884149516,,,3.4548266859579146,25.10811589278407,,154.72869787155062
t bar row,t bar row_500251.jpg,,168.80933598674778,45.049147874862776,145.1433498946058,74.09793557248443,168.3525500544561,178.1925623817721,154.88350941391127,,,27.328976049285156,0.4223628539441733,168.80933598674778,21.339731176030185,10.843608767930995,168.80933598674778,
t bar row,t bar row_700421.jpg,72.45626600627146,,4.813752635924515,,,168.8879669801872,,,150.70873625121988,176.69783855514595,3.499090709496477,,,1.5520035965105963,,,176.36352973353502
t bar row,t bar row_1600401.jpg,,,1.0714959659991192,,,149.48720629716397,,148.3106222295124,,140.09598033044833,23.422516538106702,14.386342693277877,,9.316306476572837,29.033459630510503,,
t bar row,t bar row_1100121.jpg,151.70038324703344,170.68998798861503,104.91522844525325,177.53169308825835,64.76874867752188,175.26476662231582,175.02370148638593,177.9375445401993,70.0804527324773,134.5063797497263,15.174346781136059,6.1726577980947095,170.68998798861503,13.061225175055824,7.080608322435767,170.68998798861503,157.0615441212526
t bar row,t bar row_500351.jpg,,170.63240222367725,68.32892544822064,122.19928138810359,80.34813569187247,168.61509757959004,179.29954987049308,152.19778569933217,,158.49303332145513,28.14719256711069,2.0995783797905276,170.63240222367725,22.25154162054235,9.764847386573209,170.63240222367725,
t bar row,t bar row_500341.jpg,153.51737994824654,178.2908638968137,70.70863745703456,165.2859501061548,66.38445712195654,150.07544337552403,172.27115335373705,136.79238096852987,111.3034566760954,173.71078312452693,18.058285818505585,20.198555461707876,178.2908638968137,5.965022359794851,0.7844596481660674,178.2908638968137,161.82329246556742
t bar row,t bar row_1800161.jpg,,,30.289448809546386,,,155.92419986561492,,162.63139724986684,,,6.2613205183508756,11.319941846594167,,5.541578976838737,18.963307464618435,,
t bar row,t bar row_2000291.jpg,,,8.071386203335798,,,,,,,,,,,18.559455281522556,,,
t bar row,t bar row_2100021.jpg,,,30.573051219363045,,,170.2925926291452,,167.1870059017499,,,17.40177131012564,2.2696649705814904,,12.789767700612273,3.6024001101847256,,
t bar row,t bar row_500141.jpg,145.9693544648831,172.7279921235352,7.260459638129777,150.51474803207628,71.14297017594252,149.98241625170763,177.72533295714396,139.19449838037755,98.19448664681961,164.66275306758718,21.985796643361375,12.788374001649652,172.7279921235352,8.060792029749326,6.660711046279702,172.7279921235352,177.51789899469892
